SAMPLE	MINERAL	GROUP	   Au    	   Pt    	   W     	   As    	   Se    	   Cu    	   Ni    	   Mn    	   Sb    	   Pb    	   S     	   Zn    	   Co    	   Fe    	   Te    	   Cd    	   Ag    	   Bi    	   Hg    
GUUD-205-11_C2_Sulf-1-1 	PYRITE	SULFIDE	0.015	0	0.03	0.024	0.008	0	0	0	0.024	0	51.43	0	0	46.6	0	0.032	0	0	0
GUUD-205-11_C2_Sulf-1-2 	PYRITE	SULFIDE	0.024	0	0.009	0.026	0	0	0	0	0.021	0	50.855	0	0	46.026	0	0.041	0	0	0
GUUD-205-11_C2_Sulf-2-2 	PYRITE	SULFIDE	0.049	0	0.013	0.015	0	0	0.048	0	0	0	51.345	0	0	46.24	0	0.027	0	0	0
GUUD-205-11_C3_Sulf-1-2 	PYRITE	SULFIDE	0.037	0	0	0.008	0.017	0.06	0	0	0	0	52.204	0.017	0.026	45.815	0	0.028	0	0	0
GUUD-205-11_C3_Sulf-1-3 	PYRITE	SULFIDE	0.001	0	0.057	0.019	0.042	0.015	0.013	0	0.011	0	51.41	0.04	0	46.179	0	0	0	0	0
GUUD-205-11_C1_Sulf-1-2 	PYRITE	SULFIDE	0.011	0	0	0	0.009	0	0	0	0	0	51.494	0	0	46.253	0.05	0.03	0	0	0
GUUD-205-11_C1_Sulf-1-4 	PYRITE	SULFIDE	0.057	0	0.046	0.009	0.016	0.03	0	0	0	0	52.173	0.021	0.009	46.735	0.056	0.023	0	0	0
GUUD-205-11_C1_Sulf-1-5 	PYRITE	SULFIDE	0	0	0	0	0	0.006	0	0	0.015	0	51.485	0	0	46.055	0.09	0	0	0	0
GUUD-205-11_C2_Sulf-2-1 	PYRITE	SULFIDE	0	0.002	0.013	0	0.013	0	0	0	0.032	0	51.212	0	0	45.714	0.004	0.011	0	0	0
GUUD-205-11_C3_Sulf-1-1 	PYRITE	SULFIDE	0	0	0	0	0	0	0.17	0	0	0	51.122	0	0.017	45.963	0	0.025	0	0	0
GUUD-205-11_C1_Sulf-2-1 	CHALCOPYRITE	SULFIDE	0	0	0	0	0	34.775	0	0	0	0	32.745	0	0	29.976	0	0.065	0	0	0
