"","id","SAMPLE","GROUP","MINERAL","ROCK","SIO2","TIO2","AL2O3","CR2O3","FEOT","CAO","MGO","MNO","K2O","NA2O","P2O5","H20","F","CL","NIO","CUO","COO","ZNO","PBO","S","ZRO2","AS","SOMA"
"538","41470","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.05,0.02,0.08,0,0.752,50.61,1.143,0.421,0.02480099,0.049,0.01,0,0.0585,0.017,0.04,0,0,0,0,0.01,0.01,0,53.29530099
"539","41471","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.06,0.045,0.03,0,0.601,52.8,0.648,0.421,0.02,0.024,0.01,0,0,0,0,0,0,0,0,0.01,0.04,0,54.709
"540","41472","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",1.6,0.03,0.5208,0,0.606,51.85,0.947,0.418,0.5537521,0.043,0,0,0,0.009,0.02,0,0,0,0,0.19,0.015,0,56.8025521
"541","41473","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0,0.004,2e-04,0,0.683,52.12,0.826,0.458,0.013,0.014,0,0,0,0,0.05,0,0,0,0,0.01,0.18,0,54.3582
"542","41474","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.25,0.02,0.098,0.02,0.468,51.58,0.727,0.39,0.022,0.014,0.01,0,0,7e-04,0.02,0,0,0,0,0.01,7.524569,0,61.154269
"543","41475","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.8848,0,0.25,0,0.709,50.85,1.216,0.442,0.09,0,0.024,0,0,0,0,0,0,0,0,0.19,0.015,0,54.6708
"544","41476","samp. 488536","CARBONATE","DOLOMITE","CARBONATITE, CALCIO",0.02,0.047,0.01,0,3.39,29.19,20.63,0.453,0,0.017,0,0,0,0,0.015,0,0,0,0,0.6,0.04,0,54.412
"545","41477","samp. 488536","CARBONATE","CALCITE","CARBONATITE, CALCIO",0.2229434,0.05,0.02,0,0.592,52.03,0.821,0.39,0.04,0,0,0,0,0,0,0,0,0,0,0,0.01,0,54.1759434
"546","41510","samp. BD83","CARBONATE","CALCITE","CARBONATITE, CALCITE",0.05,0,0.01,0,0.04,56.4,0.05,0.06,0,0.02,0.302,0,0.2111,0.0042,0,0,0,0,0,0.01,0.18,0,57.3373
"547","41511","samp. BD4162","CARBONATE","CALCITE","CARBONATITE",0.03,0,0.01,0.012,0.02,53.2,0,0.26,0.01,0.57,0,0,0,0,0,0,0,0,0,0.01,0.01,0,54.132
